year,source,confidence,Title
1941.0,https://en.wikipedia.org/wiki/9:20_Special,medium,9.20 Special
1960.0,https://en.wikipedia.org/wiki/26-2,medium,26-2
,https://en.wikipedia.org/wiki/List_of_compositions_by_Thelonious_Monk,low,52nd Street Theme
1972.0,https://en.wikipedia.org/wiki/500_Miles_High,medium,500 Miles High
1958.0,https://en.wikipedia.org/wiki/502_Blues,medium,502 Blues
,https://en.wikipedia.org/wiki/Ballad,low,A Ballad
1942.0,https://en.wikipedia.org/wiki/Casablanca_(film),medium,A Beautiful Friendship
1954.0,https://en.wikipedia.org/wiki/A_Blossom_Fell,medium,A Blossom Fell
1958.0,https://en.wikipedia.org/wiki/A_Certain_Smile_(song),medium,A Certain Smile
1965.0,https://en.wikipedia.org/wiki/A_Child_Is_Born_(book),medium,A Child Is Born
1958.0,https://en.wikipedia.org/wiki/A_felicidade,medium,A Felicidade
1936.0,https://en.wikipedia.org/wiki/A_Fine_Romance_(song),high,A Fine Romance
1957.0,https://en.wikipedia.org/wiki/A_Flower_Is_a_Lovesome_Thing,medium,A Flower Is A Lovesome Thing
1937.0,https://en.wikipedia.org/wiki/A_Foggy_Day,high,A Foggy Day
,,none,A Ghost Of A Chance
1935.0,https://en.wikipedia.org/wiki/A_Kiss_to_Build_a_Dream_On,high,A Kiss To Build A Dream On
1960.0,https://en.wikipedia.org/wiki/A_Little_Bitty_Tear,medium,A Little Tear
1943.0,https://en.wikipedia.org/wiki/A_Lovely_Way_to_Spend_an_Evening,medium,A Lovely Way To Spend An Evening
1942.0,https://en.wikipedia.org/wiki/A_Night_in_Tunisia,high,A Night In Tunisia
1939.0,https://en.wikipedia.org/wiki/A_Nightingale_Sang_in_Berkeley_Square,high,A Nightingale Sang In Berkeley Square
1919.0,https://en.wikipedia.org/wiki/A_Pretty_Girl_Is_Like_a_Melody,medium,A Pretty Girl Is Like A Melody
,https://en.wikipedia.org/wiki/Crassula_ovata,low,A Shade Of Jade
1954.0,https://en.wikipedia.org/wiki/A_Sleepin%27_Bee,medium,A Sleepin' Bee
1988.0,https://en.wikipedia.org/wiki/Smooth_Criminal,medium,A Smooth One
1987.0,https://en.wikipedia.org/wiki/Sore_Throat_(band),medium,A Sound For Sore Ears
1946.0,https://en.wikipedia.org/wiki/A_Sunday_Kind_of_Love,medium,A Sunday Kind Of Love
1961.0,https://en.wikipedia.org/wiki/A_Taste_of_Honey,medium,A Taste Of Honey
,,none,A Time For Love
1938.0,"https://en.wikipedia.org/wiki/A-Tisket,_A-Tasket",medium,A Tisket A Tasket
1960.0,https://en.wikipedia.org/wiki/Weaver_of_Dreams_(Kenny_Burrell_album),medium,A Weaver Of Dreams
,https://en.wikipedia.org/wiki/Hygiene,low,Ablution
1944.0,https://en.wikipedia.org/wiki/Ac-Cent-Tchu-Ate_the_Positive,medium,Ac-Cent-Tchu-Ate The Positive
1946.0,https://en.wikipedia.org/wiki/Across_the_Alley_from_the_Alamo,medium,Across The Alley From The Alamo
,https://en.wikipedia.org/wiki/Adam%27s_apple,low,Adam's Apple
,https://en.wikipedia.org/wiki/Trial,low,Affirmation
1962.0,https://en.wikipedia.org/wiki/African_Flower,medium,African Flower
1951.0,https://en.wikipedia.org/wiki/The_African_Queen,medium,"African Queen, The"
1959.0,https://en.wikipedia.org/wiki/Afro_Blue,medium,Afro Blue
,https://en.wikipedia.org/wiki/Afrocentrism,low,Afro Centric
1979.0,https://en.wikipedia.org/wiki/After_You_(Dionne_Warwick_song),medium,After You
1918.0,https://en.wikipedia.org/wiki/After_You%27ve_Gone_(song),high,After You've Gone
1949.0,https://en.wikipedia.org/wiki/Afternoon_in_Paris,medium,Afternoon In Paris
2009.0,https://en.wikipedia.org/wiki/Again_(video_game),medium,Again
1959.0,https://en.wikipedia.org/wiki/%C3%81gua_de_Beber,medium,Agua De Beber
2006.0,https://en.wikipedia.org/wiki/Metheny/Mehldau,medium,Ahmid-6
1929.0,https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(song),medium,Ain't Misbehavin'
1927.0,https://en.wikipedia.org/wiki/Ain%27t_She_Sweet,high,Ain't She Sweet
1954.0,https://en.wikipedia.org/wiki/Airegin,medium,Airegin
1979.0,https://en.wikipedia.org/wiki/Saki_Kubota_discography,medium,Airmail Special
,https://en.wikipedia.org/wiki/Aisha,low,Aisha
1911.0,https://en.wikipedia.org/wiki/Alexander%27s_Ragtime_Band,medium,Alexander's Ragtime Band
1963.0,https://en.wikipedia.org/wiki/Alfie_(play),medium,Alfie
1966.0,https://en.wikipedia.org/wiki/Alfie_(Sonny_Rollins_album),medium,Alfie's Theme
1865.0,https://en.wikipedia.org/wiki/Alice%27s_Adventures_in_Wonderland,medium,Alice In Wonderland
1945.0,https://en.wikipedia.org/wiki/Kimiko_Kasai,medium,All About Ronnie
2006.0,https://en.wikipedia.org/wiki/All_Alone_(film_series),medium,All Alone
1985.0,https://en.wikipedia.org/wiki/All_at_Once_(Whitney_Houston_song),medium,All At Once You Love Her
1959.0,https://en.wikipedia.org/wiki/All_Blues,medium,All Blues
1975.0,https://en.wikipedia.org/wiki/All_by_Myself,medium,All By Myself
1937.0,https://en.wikipedia.org/wiki/All_God%27s_Chillun_Got_Rhythm,medium,All God's Chillun Got Rhythm
1959.0,https://en.wikipedia.org/wiki/All_My_Tomorrows_(song),medium,All My Tomorrows
1939.0,https://en.wikipedia.org/wiki/Mel_Carter,medium,All Of A Sudden My Heart Sings
1934.0,https://en.wikipedia.org/wiki/All_of_Me_(1934_film),medium,All Of Me
1961.0,https://en.wikipedia.org/wiki/All_of_You_(Ahmad_Jamal_album),medium,All Of You
1939.0,https://en.wikipedia.org/wiki/All_or_Nothing_at_All,high,All Or Nothing At All
1939.0,https://en.wikipedia.org/wiki/All_the_Things_You_Are,medium,All The Things You Are
1838.0,https://en.wikipedia.org/wiki/Turtles_all_the_way_down,medium,All The Way
,https://en.wikipedia.org/wiki/All_Saints%27_Day,low,All Through The Day
1942.0,https://en.wikipedia.org/wiki/All_Through_the_Night_(film),medium,All Through The Night
1940.0,https://en.wikipedia.org/wiki/All_Too_Soon,medium,All Too Soon
1947.0,https://en.wikipedia.org/wiki/Almost_Like_Being_in_Love,high,Almost Like Being In Love
1952.0,https://en.wikipedia.org/wiki/Alone_Together_(Benny_Carter_album),medium,Alone Together
1977.0,https://en.wikipedia.org/wiki/Alone_Too_Long_(album),medium,Alone Too Long
1983.0,https://en.wikipedia.org/wiki/Moment_to_Moment_(The_Jazztet_album),medium,Along Came Betty
1985.0,https://en.wikipedia.org/wiki/Always_(1985_film),medium,Always
2021.0,https://en.wikipedia.org/wiki/To_All_the_Boys:_Always_and_Forever,medium,Always And Forever
1929.0,https://en.wikipedia.org/wiki/Am_I_Blue%3F,medium,Am I Blue?
1927.0,https://en.wikipedia.org/wiki/Among_My_Souvenirs,high,Among My Souvenirs
1959.0,https://en.wikipedia.org/wiki/Ana_Mar%C3%ADa_Polo,medium,Ana Maria
1973.0,https://en.wikipedia.org/wiki/On_the_Third_Day,medium,And On The Third Day
1944.0,https://en.wikipedia.org/wiki/And_the_Angels_Sing,medium,And The Angels Sing
2001.0,https://en.wikipedia.org/wiki/Angel_Eyes_(film),medium,Angel Eyes
,https://en.wikipedia.org/wiki/Anthropology,low,Anthropology
1934.0,https://en.wikipedia.org/wiki/Anything_Goes,medium,Anything Goes
,https://en.wikipedia.org/wiki/April,low,April
1932.0,https://en.wikipedia.org/wiki/April_in_Paris_(song),high,April In Paris
1976.0,https://en.wikipedia.org/wiki/Joy_Division,medium,April Joy
1987.0,https://en.wikipedia.org/wiki/April_Skies,medium,April Skies
1945.0,https://en.wikipedia.org/wiki/Aren%27t_You_Glad_You%27re_You%3F,medium,Aren't You Glad You're You
1817.0,https://en.wikipedia.org/wiki/Armageddon,medium,Armageddon
1941.0,https://en.wikipedia.org/wiki/Chick_Corea,medium,Armando's Rhumba
1946.0,https://en.wikipedia.org/wiki/As_Long_as_I_Live_(1946_film),medium,As Long As I Live
1931.0,https://en.wikipedia.org/wiki/As_Time_Goes_By_(song),high,As Time Goes By
,https://en.wikipedia.org/wiki/List_of_compositions_by_Thelonious_Monk,low,Ask Me Now
1941.0,https://en.wikipedia.org/wiki/At_Last,medium,At Last
1975.0,https://en.wikipedia.org/wiki/At_Long_Last_Love,medium,At Long Last Love
1951.0,https://en.wikipedia.org/wiki/Au_Privave,medium,Au Privave
2000.0,https://en.wikipedia.org/wiki/Autumn_in_New_York_(film),medium,Autumn In New York
,https://en.wikipedia.org/wiki/Autumn_leaf_color,low,Autumn Leaves
2024.0,https://en.wikipedia.org/wiki/Portrait_(Samara_Joy_album),medium,Autumn Nocturne
,https://en.wikipedia.org/wiki/Avalon,low,Avalon
,https://en.wikipedia.org/wiki/List_of_compositions_by_Thelonious_Monk,low,Ba-lue Bolivar Ba-lues-are
1919.0,https://en.wikipedia.org/wiki/Baby_Won%27t_You_Please_Come_Home,high,"Baby, Won't You Please Come Home"
1959.0,https://en.wikipedia.org/wiki/Sally_Timms,medium,Backstage Sally
1961.0,https://en.wikipedia.org/wiki/Bags_%26_Trane,medium,Bags and Trane
1957.0,https://en.wikipedia.org/wiki/Bags%27_Groove,medium,Bags' Groove
,https://en.wikipedia.org/wiki/Balance_(ability),low,"Balance, The"
